gml_id;dist_m;x;y
id2939bd5e-98fa-417c-9759-d572df64b37b;12,99992958;664725;7669467
id29fdef24-1dfe-4f70-9eec-438e7045bbd0;23,58118214;638851;7684828
id2aa28d96-930d-4f04-8417-8a15e852d261;142,51893;689866;7657469
id2aace49e-528b-416d-9796-35ae5c19cf34;19,51328048;640835;7695176
id2af5e350-943b-4c7a-ae80-e74ab9cc1794;16,20496903;647792,57;7667600,507
id2bacdc19-5bf6-44e1-8a44-6def0c663cc7;620,4229722;632466;7676662
id2c539095-43a7-4ebc-b499-18a5f232251b;1782,098484;638606;7668992
id2c6b2c17-7bc7-401e-888c-397322a07da6;33,73035805;637889;7664832
id2d293c46-969e-4398-a462-1d8937a873fe;16,48511706;647847,25;7667814,94
id2d5a9d4d-834c-418b-a254-a543970510a6;1956,927279;634451,489;7673752,365
id2d6f394b-9e1f-4eaa-b7af-646afe2f11b5;374,8723397;656772;7651585
id2dad4d0c-ede8-456f-af35-b4b4234180f7;6,533414136;647276;7654436
id2dcb53ba-ded1-489d-8cfd-7a4e29014e97;252,6331843;633499;7677239
id2de2e3fc-f24c-444f-8a4a-99e8130dccf4;2179,711086;631975;7674237
id2dfb71b4-b0f5-43ff-bd2f-b051b3f4f75e;17,60271824;640135;7698158
id2ea1720f-224c-4e5a-9446-47a5f4dd4b58;3,324247244;650537;7663615
id2ea546f5-4966-4ca1-a575-250f3d64fdab;35,53958856;645594;7687498
id2f3009f3-81dc-42bb-820e-acfa2d1da9f4;472,4895168;645625,704;7676910,545
id2f8ec729-b20e-45fc-bd04-8963514f96b3;19,34909824;648163,309;7667912,872
id2f926d7f-2d10-40e1-9a49-795bd969024f;18,12303387;647847,558;7667397,31
id2fb33f8f-f15c-4d7a-ab34-92bc0b90f977;35,7191862;659016;7673209
id2fb35cde-11f0-4a36-92aa-bf9b871a112d;118,4292078;686797,7;7660320,34
id30ff8f7c-5eca-4927-9424-15256e1a4d7d;1251,631406;660877;7656858
id31039c8d-1eaa-4780-8ad1-7b31ac2da30b;18,9611958;645029;7662709
id3165d63f-0e53-4d01-9239-f689fc400000;15,83812982;670503;7660194
id31ba9cff-1da4-4969-a1a7-1ce90fad2de9;1653,162766;646913;7652824
id31ebd18f-2a59-432f-a4d5-dad2222832d0;17,1194835;639771;7692035
id32292173-9470-486c-ba0b-b1f99391b83c;17,50886779;648075,41;7667699,94
id3231a052-c122-4dc5-b127-2332b4042ec7;34,25071238;632997,561;7676962,22
id32391f33-24a4-4701-b7f2-de4ac475f8ef;15,66608434;647586;7658744
id3270c7bf-c5c4-4f01-92bb-c457b0e9f560;36,09060799;645455,973;7663966,332
id32955112-ae53-4a9d-b273-fc2c0bb3509e;2237,452083;690004;7647169
id33216ebd-8829-4036-88bb-992c33de2eb8;17,20611014;679013,04;7658401,55
id33429c20-407c-4fd1-98ab-b09eab1d8050;19,57433798;683064,259;7661723,118
id33a65483-7da5-4249-9da8-470df9baea54;1123,546799;652367,929;7656904,288
id33b9a917-926f-4b1a-a51b-a4a6edca60be;19,3312931;639015,75;7695340,472
id33ba4016-caec-4cec-82a9-672a7e0fa45b;5277,268703;701399;7655871
id33c6d4e3-ae04-4421-8685-caaa535c1b34;1031,608805;652525,51;7656918,16
id33cbff82-ef0e-48f2-bfa3-669a7347c67d;13,48665386;679536;7663777
id3453eec2-283d-4e81-b450-ac260b55fddf;63,74532541;679359;7663627
id345dc056-0542-434a-8b32-8360ded670be;1117,627841;652248;7657005
id34867ffc-44b1-433c-888c-a566d2d454a1;18,02193439;640793;7681598
id349e637f-3cad-4e77-ae61-e4bf2d1ab99f;17,94777001;647930,645;7667217,402
id3562bc13-306d-4f35-bbf3-5fc2fe82bb6d;204,3545766;656330,39;7671590
id35ba8fd8-8067-4715-b773-138bbc4852fa;12,59814182;639452;7697601
id35c0971f-10b4-470f-977f-380fc9879cd3;11,09608073;679442;7656184
id35c6786d-ab84-4cfd-9f88-7d7fdb70e2a4;42,5265673;640521;7694720
id35d4e05b-83e0-458f-9018-fa49297ff0c5;22,39657187;686667;7659977
id35dca27f-a50b-42d6-abbf-6c75a11d2dc8;19,61656515;648019,91;7667446,44
id35e74dc1-d81d-4430-b88f-c237775450e1;12,28793899;647845,134;7667718,254
id35e9efa1-29e8-4ebc-a81b-925d16817e62;1327,459344;660946;7656800
id35eba82d-affc-4177-92ab-d8f004877164;16,34105758;640112;7698216
id35fba4c7-f535-45b8-b591-8172e2018c56;107,385823;648479,22;7657058,41
id36007e0f-0c42-4ca1-ac84-5367e88f6aa0;16,62378826;648145,686;7667947,9
id3630bb9b-1949-4247-b102-7ca483febc3a;53,64226048;639507;7690187
id36439a35-1534-4592-9f90-adb95f08bc67;29,1039516;684817;7659429
id36a08971-c904-4b88-9671-6e2c7e6994f7;94,48073472;675464;7660800
id36af93e1-bc4d-48e8-b986-13cc1143db68;14,5332608;684060;7660151
id36d66286-9112-40d2-88a6-5287754b58e6;245,5221324;683455;7661215
id37803614-6e52-4434-b9cb-f6e1e86f60ff;338,0613794;645561;7662922
id378221ef-eb7c-4ed9-9a57-1a26e3ed07f1;1007,245021;660634;7656884
id378479a6-e293-4fbf-86c8-2c3a9bbd5ca3;1650,145446;687482;7649747
id380bb647-329c-485e-99bd-bcdc2cae464e;2481,3353;636906;7669034
id380ec883-51e8-45b9-bdeb-ed7427d02cf3;23,73613871;653017;7671923
id381e9412-2765-405e-a8ce-c84e97e72b77;36,16557671;684769;7659481
id38454619-1422-4023-8b9d-e5b185fdbe4b;554,4326085;647668,038;7673596,48
id385840ee-eb21-483b-b970-e0efbcc69556;12,97427959;645120,291;7663503,301
id386fb7c1-eb5a-48b1-a4f7-b58635ff8c74;38,57552778;667379;7658979
id387b99b7-266f-4b4e-b28c-e785941a3455;15,53065059;648295,72;7667756,53
id3889d50c-d0ed-4dd6-ba89-6cab16f4f4f7;35,65471993;639651,92;7690934,32
id393ff155-59cb-491b-9c5d-acaab89cf9ca;351,965728;641109,245;7695943,839
id395b152f-00b6-4b11-a709-8664d79ce69e;175,1363285;672329,434;7662409,748
id398b80c3-062b-49da-b683-ad22733b935f;16,32660187;636112;7678200
id3990a38d-b950-4138-9bb4-221bdb706c32;1340,130292;660953,229;7656765,04
id39911b56-1c84-407f-b6f6-3a5993ef26e9;20,38094768;647772,98;7667588,07
id3a26f3f1-d0bb-42f7-872b-c07f64b83496;10,98370148;648319,89;7667760,87
id3a848719-9687-4741-878e-78bc24a95380;25,96520608;637678;7686208
id3ac1afa6-7c4a-456a-9bee-810a4349a50d;537,3133714;633420,14;7675106,74
id3ae79833-c7bd-4ce3-9a6e-e5613a4a99a0;59,03958268;685089;7662560
id3b3d0e80-0e16-4921-a739-69f7c914275f;24,15550314;646835,311;7658773,098
id3b417ed4-3280-40b9-9372-5b56455eb23c;143,9594621;674741,114;7662411,985
id3b47aa95-643f-4339-b056-5f5f4db6dc3a;50,74133684;686850,838;7660601,515
id3b560590-4728-4ae6-9e2e-4d242a31d366;42,28241642;644513;7664122
id3c593bfe-5f4a-4c6a-a4e6-ef3869782039;20,7360634;647829,9;7667743,829
id3cd7a8dd-a6bf-449b-8021-eceaac1456b7;16,1003937;647744;7667420
id3d13459f-829c-48ac-861d-58665efa9d44;32,05360666;661334,349;7661147,716
id3d5a4e56-5327-4173-80f9-6f8b6d658c83;339,2305662;644619;7659172
id3d9cb182-9a46-491b-9efb-05d281bcb1b0;10,06256918;673862,812;7662394,331
id3da2632b-e0a6-45f2-8df8-e01efeece54d;13,77030114;648130,159;7667924,315
id3ddc3d31-428e-4335-991b-517afa0ba58a;16,77127486;663746;7670365
id3df557b7-a4cb-430e-9ab1-8a7450b80651;39,40944126;679179,99;7656937,41
id3e183717-b808-4d41-b268-76da6d3caee9;832,2791841;633172,17;7674923,17
id3f1c159f-912f-4901-8536-204c124493f0;1000,631977;633231;7674681
id3f7739fb-0ed5-48fd-aa47-2a26dbb82b12;31,05528951;679130,65;7658054,23
id3fd59f9d-31f8-4b47-ab1d-992754aea2c7;584,426416;632473;7676719
id3fdda0a8-9dbf-4d6f-a1a5-09bbc952eb72;1149,662097;631889;7677368
id40137449-701a-4fd7-84b2-53d01cdd119e;34,79355266;686854,75;7660790,61
id402825f3-84b6-45a4-81a8-31e9a2974c01;761,5243085;654821,324;7664186,385
id4048371a-0a01-490b-8239-efc6aafd26ad;24,80351586;644787;7684328
id40646d04-1586-450e-9ab6-ef41dce4e1c6;690,9945987;633346,17;7674971,79
id408e069f-4c07-4511-86ea-60e04a5484fc;914,4927657;652590;7675786
id40c76d24-22d3-4391-a552-faacf6f2d31f;21,10773185;645015;7663612
id40f306a9-21df-434c-a6eb-6c05012a51b8;24,82862357;684727,407;7662878,489
id40f618ee-a986-45ab-af3c-dc4bb343f2a0;151,1095669;632925,709;7676865,547
id41bd9d19-0421-4313-b69f-c2ce56a991e6;234,8159546;659093,71;7673533,18
id42313d8e-915e-415f-956a-7acdcedc78a5;10,35699719;648175,906;7667594,228
id4250ed81-58b2-4cbd-9bb6-75b7f83fb1af;49,26254625;689752,45;7657988,25
id42a4f60e-0a0d-4579-b01e-fee08df897e8;71,16350391;689325;7657507
id42ae5830-a54c-4976-abc7-66f6f31e6a9b;1050,295738;653247,359;7664847,668
id42b172cc-493e-40fa-93f1-5006ac4833f5;688,424172;632615;7676425
id42bb8200-b3b1-4b79-9357-23730db47851;1696,075122;663441,847;7640509,459
id42d0ecf6-446e-4348-8129-5dec956e6a69;20,44814344;648268,42;7667365,3
id42d306a2-37e2-4595-9fbf-2665d2e30d7c;66,73011497;681731,82;7652170,68
id435ecc65-9c73-408b-82e1-2b5d37e84375;37,37644625;656197,64;7648689,16
id43770e12-1392-4bf6-93f2-f1d25c55db67;17629,29735;697573,965;7614245,345
id439ad1c8-0091-4ebc-9bc7-18d5ca88c878;142,367609;670288,83;7660347,92
id43bb3a80-09ea-4006-aee7-0c4f17fd3268;245,7849458;673723;7661808
id440dc036-c618-4b0a-ac8d-e9481c1ac315;29,16269515;639714;7693132
id443e0bb2-89b8-445c-94e4-2725d683899f;11,45718404;648154,752;7667607,8
id4483ae22-27ff-4cd4-aa03-16da3800709b;16,67485257;644227;7670483
id44ec0807-0164-493d-ab34-641418ec6d46;156,8645138;675564;7660773
id4561c339-b056-4b40-819f-2aa360d5e6f9;180,5073761;658106,42;7660840,538
id457e615b-c426-4c62-9322-8251458d4ddc;45,5377094;645850,329;7688388,869
id4596dd87-2559-4ab3-b581-5438c4390a38;16,42424135;678306;7658840
id45a3f0e9-bbaa-4700-99df-bfd12e5bbfc7;74,79656156;680728,56;7652601,73
id45b0936c-c577-43fb-84f6-6c83d2565c7d;678,2766173;632949,652;7682488,511
id468da4b6-9f4e-4db3-8f13-6cce3dd606d0;1200,929086;660826,477;7656862,405
id47288601-3bb6-44d7-8226-c3d88f3ca28e;350,8549873;654350,915;7664246,031
id474c8823-2121-44f4-9497-b18949bccc68;13,41269373;639753,73;7692787,5
id477f1b9a-b7ae-467c-bb3e-d824bcadc7ea;197,0774279;633252;7677219
id48b64644-df41-4542-a73a-d4a758c17091;12,12682061;647668;7667400
id48ffbede-3a03-4d36-bace-e3ee907d473b;12,78773215;639442;7694564
id496488c7-5c4e-4d2a-9e1a-25bca53ecb6d;51,72623576;658837,51;7672735,46
id49654340-f4e1-49b8-92c4-59954c6c4da4;14,09644635;677292;7663682
id49a6db32-2a5b-42de-8251-3a2c6dcf38a0;15,47247139;648139,493;7667910,563
id49c8a5d3-abfb-4caa-9b17-adc2a94c538d;50,45122977;639960;7679783
id4a075da3-82e5-4c85-bc7a-2f59100c6c45;55,24031875;638190;7682177
id4a21c374-390d-4d9c-af0e-d6e266ba4cde;12,0077982;648068,399;7667229,769
id4a94a51d-8e62-4ce1-a915-8fc68970763f;21,39140272;648133;7667305
id4ad4f376-6d29-4690-bcbe-9515baf4607a;47,0141468;650095,48;7672406,91
id4b220602-947c-4080-8870-0c8fd767db66;133,8674972;658072,834;7663744,198
id4b631cd5-5e62-440e-a4e8-bb3a0bb555a5;24,06660439;633507,23;7676915,19
id4bb1f7b7-2041-4d5c-8b7b-03382c1b5995;70,11849744;639808;7692235
id4bd66efd-af86-4592-a4b3-a722b5967e70;35,17690907;686707,8;7660473,76
id4cc3931c-bd97-4801-9dba-aadfec78f617;17,04363923;648095;7667242,07
id4ce0007a-4395-4675-9d52-77e1fc6fca4b;16,95156152;680086;7663461
id4d6e75b1-54d5-4159-934e-09dfcfa58f3d;1452,750948;654638,442;7651612,928
id4da3b81e-c4fd-4f27-ae36-63f2659a614d;25,76612977;637263;7681638
id4dd47f41-c1af-4b2a-a7f2-defb5c6b44d9;489,3472619;654557;7664121
id4e1c2ede-9185-434f-91a9-4ea720803120;27,969186;639253;7696054
id4efabf4c-6e6e-4802-89dc-0485196ef856;7,894245369;639554;7694566
id4f3ef118-61b8-428b-ae99-7b8420da4884;23,42294505;665392;7659668
id4f8ea758-12c1-4aad-b301-47b891e7b881;13,55698582;648028,528;7667613,866
id4faf583d-f2c5-4b4b-88da-31d42709ec31;138,9135577;665809;7642265
id512110b5-e6e5-410c-88e8-3b416b17e272;891,0236996;678308,263;7656598,497
id517d8f7b-293a-4914-9e7d-188656c72512;14,03254283;648101,053;7667941,073
id51cbcbbf-7789-4cc1-a78e-3fb32e48891d;146,678421;639675,74;7679319,33
id520ca175-3529-4ba2-b3ed-05e6267fd1b7;14,03718956;639097;7695146
id521d34ab-197e-4093-8f5e-5b06913a8162;11,45597903;648196,75;7667402,236
id522aff93-d44b-4b5a-b020-69cc27cb3b32;15,96987075;647930;7667544,11
id52ebea1b-7640-49aa-9968-31c3bfec0df2;427,3895713;648254;7668547
id5304e1fa-fa84-4950-a50b-22be8b39606c;169,1337785;645439;7685030
id532389dd-b45a-4f9b-bb4f-230e0a39c25b;13,66631708;648139,406;7667344,164
id5360ee1e-6e3d-4509-b82a-4c7c35549bbd;843,0035802;640749,61;7697010,15
id539383ea-20ce-4252-9358-8ad3a2d9b0d9;18,96311462;663719;7670142
id53e4876f-aa01-483d-a12a-2ace408a851b;623,4328705;633155;7675270
id546acae5-b42b-43bd-8ab1-17e5fae72e97;37,10649641;639796,4;7691412,24
id5487f53a-8401-4125-8be2-6367b7de5a93;106,5132603;664523;7669478
id551d4607-fc2b-45c6-a755-fc140e8be1f8;33,86056699;639895;7697983
id554a3436-fd45-4874-8257-9fcea06bbe65;17,10600871;647924,17;7667509,99
id555d4727-92de-4e17-bb8a-f1e32f9ed628;51,12937401;633561;7676994,97
